ID,State,Description,Start_Date,PROJECT,Due_Date,Expiration_Date,Location,Context,Reminders,ACTIVITYs,Sub_TASKs,Parent_TASK
2294,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2301,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2302,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2303,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2304,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2319,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2320,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2321,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2322,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2323,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2334,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2341,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2342,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2343,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2344,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2349,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2356,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2357,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2358,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2359,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2374,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2375,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2376,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2377,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2378,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2389,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2396,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2397,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2398,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2399,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2414,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2415,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2416,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2417,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2418,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2429,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2436,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2437,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2438,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2439,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2454,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2455,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2456,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2457,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2458,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2469,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2476,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2477,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2478,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2479,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2494,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2495,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2496,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2497,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2498,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2509,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2516,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2517,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2518,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2519,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2534,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2535,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2536,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2537,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2538,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2549,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2556,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2557,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2558,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2559,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2574,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2575,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2576,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2577,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2578,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2593,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2600,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2601,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2602,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2603,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2618,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2619,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2620,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2621,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2622,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2633,Open, this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2640,Open, another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2641,Open, this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2642,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2643,Open, second this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2658,Open, 1this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2659,Open, 1another this is what you need to do on project one,17ww26.Sat,project_one,,,,,,[],[],
2660,Open, 1this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2661,Open, 1second this is what you need to do on project two,17ww26.Sat,project_two1,,,,,,[],[],
2662,Open, 1third this is what you need to do on project two,17ww26.Sat,project_two,,,,,,[],[],
2703,Open, this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2710,Open, another this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2711,Open, this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2712,Open, second this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2713,Open, second this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2728,Open, 1this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2729,Open, 1another this is what you need to do on project one,17ww27.Sun,project_one,,,,,,[],[],
2730,Open, 1this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2731,Open, 1second this is what you need to do on project two,17ww27.Sun,project_two1,,,,,,[],[],
2732,Open, 1third this is what you need to do on project two,17ww27.Sun,project_two,,,,,,[],[],
2801,Open, this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2808,Open, another this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2809,Open, this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2810,Open, second this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2811,Open, second this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2826,Open, 1this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2827,Open, 1another this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2828,Open, 1this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2829,Open, 1second this is what you need to do on project two,17ww27.Tue,project_two1,,,,,,[],[],
2830,Open, 1third this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2841,Open, this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2848,Open, another this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2849,Open, this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2850,Open, second this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2851,Open, second this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2866,Open, 1this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2867,Open, 1another this is what you need to do on project one,17ww27.Tue,project_one,,,,,,[],[],
2868,Open, 1this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2869,Open, 1second this is what you need to do on project two,17ww27.Tue,project_two1,,,,,,[],[],
2870,Open, 1third this is what you need to do on project two,17ww27.Tue,project_two,,,,,,[],[],
2881,Open, this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2888,Open, another this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2889,Open, this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2890,Open, second this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2891,Open, second this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2906,Open, 1this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2907,Open, 1another this is what you need to do on project one,17ww20.Mon,project_one,,,,,,[],[],
2908,Open, 1this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2909,Open, 1second this is what you need to do on project two,17ww20.Mon,project_two1,,,,,,[],[],
2910,Open, 1third this is what you need to do on project two,17ww20.Mon,project_two,,,,,,[],[],
2921,Open, this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2928,Open, another this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2929,Open, this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2930,Open, second this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2931,Open, second this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2946,Open, 1this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2947,Open, 1another this is what you need to do on project one,17ww13.Sun,project_one,,,,,,[],[],
2948,Open, 1this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2949,Open, 1second this is what you need to do on project two,17ww13.Sun,project_two1,,,,,,[],[],
2950,Open, 1third this is what you need to do on project two,17ww13.Sun,project_two,,,,,,[],[],
2961,Open, this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2968,Open, another this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2969,Open, this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2970,Open, second this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2971,Open, second this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2986,Open, 1this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2987,Open, 1another this is what you need to do on project one,17ww23.Fri,project_one,,,,,,[],[],
2988,Open, 1this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
2989,Open, 1second this is what you need to do on project two,17ww23.Fri,project_two1,,,,,,[],[],
2990,Open, 1third this is what you need to do on project two,17ww23.Fri,project_two,,,,,,[],[],
3001,Open, this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3008,Open, another this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3009,Open, this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3010,Open, second this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3011,Open, second this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3026,Open, 1this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3027,Open, 1another this is what you need to do on project one,17ww18.Fri,project_one,,,,,,[],[],
3028,Open, 1this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3029,Open, 1second this is what you need to do on project two,17ww18.Fri,project_two1,,,,,,[],[],
3030,Open, 1third this is what you need to do on project two,17ww18.Fri,project_two,,,,,,[],[],
3041,Open, this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3048,Open, another this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3049,Open, this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3050,Open, second this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3051,Open, second this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3066,Open, 1this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3067,Open, 1another this is what you need to do on project one,17ww17.Tue,project_one,,,,,,[],[],
3068,Open, 1this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
3069,Open, 1second this is what you need to do on project two,17ww17.Tue,project_two1,,,,,,[],[],
3070,Open, 1third this is what you need to do on project two,17ww17.Tue,project_two,,,,,,[],[],
